Tag_ID,Timestamp_ms,Anchor_ID,Raw_Distance_m,Filtered_Distance_m,Signal_Power_dBm,Anchor_Status
1,22240,5,9.9372,9.9999,-89.54,1
1,22309,1,11.2274,11.2201,-88.24,1
1,22315,2,4.5463,4.8813,-78.93,1
1,22322,3,2.7259,2.7370,-69.16,1
1,22328,4,8.5906,8.5676,-82.54,1
1,22334,5,10.0028,10.0006,-89.20,1
1,22419,1,11.2180,11.2196,-87.77,1
1,22425,2,4.8888,4.8830,-81.14,1
1,22431,3,2.7353,2.7366,-71.89,1
1,22438,4,8.6094,8.5768,-82.57,1
1,22447,5,9.9090,9.9804,-89.73,1
1,22518,1,11.1899,11.2131,-87.78,1
1,22524,2,4.6120,4.8232,-81.29,1
1,22530,3,2.7541,2.7405,-71.84,1
1,22537,4,8.5859,8.5788,-82.59,1
1,22543,5,10.0216,9.9895,-89.03,1
1,22612,1,11.1945,11.2090,-87.77,1
1,22618,2,4.6636,4.7879,-81.01,1
1,22625,3,2.7353,2.7393,-71.43,1
1,22631,4,8.5812,8.5794,-82.78,1
1,22637,5,10.0310,9.9986,-88.99,1
1,22708,1,11.2274,11.2130,-88.17,1
1,22714,2,4.7903,4.7885,-81.31,1
1,22721,3,2.7306,2.7374,-71.76,1
1,22727,4,8.5765,8.5787,-82.56,1
1,22733,5,9.9700,9.9923,-89.20,1
1,22817,1,11.2227,11.2152,-87.69,1
1,22823,2,4.9967,4.8344,-81.47,1
1,22830,3,2.7541,2.7411,-69.19,1
1,22836,4,8.5625,8.5751,-82.46,1
1,22842,5,9.9372,9.9801,-89.07,1
1,22912,1,11.1992,11.2117,-88.17,1
1,22918,2,5.1985,4.9148,-78.32,1
1,22924,3,2.7071,2.7336,-71.86,1
1,22930,4,8.5625,8.5723,-82.84,1
1,22937,5,9.9512,9.9738,-89.03,1
1,23006,1,11.1899,11.2068,-88.28,1
1,23012,2,5.3721,5.0157,-77.71,1
1,23019,3,2.7118,2.7288,-69.35,1
1,23025,4,8.5625,8.5702,-83.14,1
1,23031,5,9.8996,9.9574,-88.66,1
1,23116,1,11.2415,11.2145,-87.95,1
1,23122,2,5.2079,5.0581,-80.33,1
1,23129,3,2.7071,2.7240,-72.46,1
1,23135,4,8.5578,8.5674,-82.84,1
1,23141,5,9.9606,9.9581,-88.57,1
1,23211,1,11.2368,11.2194,-87.11,1
1,23217,2,5.0718,5.0611,-80.32,1
1,23223,3,2.6462,2.7068,-75.59,1
1,23230,4,8.6000,8.5746,-83.71,1
1,23917,1,11.2227,11.2201,-84.92,1
1,23923,2,4.8091,5.0055,-77.76,1
1,23930,3,2.5242,2.6665,-75.99,1
